wavelength_nm,ordinary,extraordinary
726,1.8008202632240431E-21,1.266273603902529E-21
727,1.8019294302609128E-21,1.2673598099429089E-21
728,1.8030352293540974E-21,1.2684427284908504E-21
729,1.5362919972121892E-21,1.2695223799346689E-21
730,1.5373906949149274E-21,1.270598784518091E-21
731,1.5384860881604973E-21,1.2716719623414691E-21
732,1.5395781973686372E-21,1.2727419333632871E-21
733,1.540667042815061E-21,1.2738087174009943E-21
734,1.5417526446324773E-21,1.2748723341325656E-21
735,1.810683255018784E-21,1.2759328030973184E-21
736,1.8117628495444621E-21,1.2769901436973976E-21
737,1.8128392587184181E-21,1.278044375198817E-21
738,1.8139125021218755E-21,1.2790955167325838E-21
739,1.5471326940842506E-21,1.2801435872958657E-21
740,1.5481992490673273E-21,1.2811886057531637E-21
741,1.5492626974510574E-21,1.282230590837362E-21
742,1.5503230582680395E-21,1.2832695611508623E-21
743,1.5513803504183101E-21,1.0163905749032866E-21
744,1.2845963733391851E-21,1.0174231721572396E-21
745,1.285647173578151E-21,1.0184528108518127E-21
746,1.5545340019085869E-21,1.019479509071192E-21
747,1.5555792057851136E-21,1.0205032847742571E-21
748,1.5566214335486687E-21,1.0215241557960335E-21
749,1.5576607033282243E-21,1.0225421398485252E-21
750,1.5586970331277662E-21,1.0235572545217726E-21
751,1.5597304408275541E-21,1.024569517284896E-21
752,1.5607609441851561E-21,1.2934974532942244E-21
753,1.5617885608363284E-21,1.2945044526467891E-21
754,1.5628133082960356E-21,1.2955086506683676E-21
755,1.5638352039596053E-21,1.2965100643609317E-21
756,1.5648542651035694E-21,1.2975087106105063E-21
757,1.565870508886656E-21,1.2985046061880051E-21
758,1.5668839523508553E-21,1.2994977677500144E-21
759,1.5678946124222447E-21,1.3004882118401045E-21
760,1.5689025059120358E-21,1.3014759548893637E-21
761,1.5699076495174026E-21,1.0345390485616793E-21
762,1.5709100598226614E-21,1.035521059667512E-21
763,1.5719097532998726E-21,1.0365004194140207E-21
764,1.5729067463099433E-21,1.3054002414213159E-21
765,1.5739010551035058E-21,1.3063747218665815E-21
766,1.5748926958218093E-21,1.3073465975502441E-21
767,1.5758816844975722E-21,1.30831588414255E-21
768,1.5768680370559525E-21,1.3092825972084989E-21
769,1.5778517693152961E-21,1.3102467522087887E-21
770,1.5788328969880664E-21,1.3112083645006019E-21
771,1.579811435681698E-21,1.3121674493383998E-21
772,1.5807874008994496E-21,1.3131240218749757E-21
773,1.5817608080412697E-21,1.0461516560730939E-21
774,1.5827316724044757E-21,1.0471028825708345E-21
775,1.5837000091848351E-21,1.0480516426011503E-21
776,1.5846658334770576E-21,1.0489979509115269E-21
777,1.5856291602759952E-21,1.0499418221517562E-21
778,1.5865900044770563E-21,1.3188115346902968E-21
779,1.5875483808772188E-21,1.3197509370084415E-21
780,1.5885043041758051E-21,1.3206879446772565E-21
