wavelength_nm,ordinary,extraordinary
587,3.2401063213119073E-20,2.7332344386108823E-20
588,3.1868142760272271E-20,2.7066891825526996E-20
589,3.1602651488780738E-20,2.6801438377994398E-20
590,3.133715883552497E-20,2.6268672838837284E-20
591,3.0804273868179242E-20,2.6003226215270489E-20
592,3.0538786704447913E-20,2.5737779049227877E-20
593,3.0005931848216913E-20,2.5472331442327838E-20
594,2.947310069067845E-20,2.5206883495773151E-20
595,2.8940293590357552E-20,2.4941435310356983E-20
596,2.8407510907774721E-20,2.440873495415067E-20
597,2.7874753005472359E-20,2.3876060719405078E-20
598,2.7342020248043017E-20,2.3610629646506073E-20
599,2.6809313002157955E-20,2.3077990856129185E-20
600,2.627663163659536E-20,2.2812569109858385E-20
601,2.5743976522268125E-20,2.2814338253353344E-20
602,2.5211348032252024E-20,2.228172714305186E-20
603,2.4678746541814913E-20,2.1749143772701633E-20
604,2.4146172428444637E-20,2.1216588523086632E-20
605,2.3613626071878056E-20,2.0684061777291673E-20
606,2.2813978244722974E-20,2.0151563920731466E-20
607,2.2014405985253002E-20,1.9886184097030498E-20
608,2.1481983018021265E-20,1.9353726119136991E-20
609,2.0949589686933687E-20,1.8554247576164329E-20
610,2.0150192432072993E-20,1.8021869178304877E-20
611,1.961787910927173E-20,1.7489521632720443E-20
612,1.908559678731136E-20,1.6957205339417833E-20
613,1.8286381349672303E-20,1.6424920700939106E-20
614,1.775418241000793E-20,1.589266812239113E-20
615,1.6955102351654773E-20,1.5360448011475955E-20
616,1.6422989242002667E-20,1.4828260778520385E-20
617,1.5890909541835655E-20,1.4296106836506508E-20
618,1.535886367068572E-20,1.3763986601101765E-20
619,1.4826852050811004E-20,1.3231900490689528E-20
620,1.402807755457919E-20,1.269984892639945E-20
621,1.3496157367078745E-20,1.2167832332138355E-20
622,1.2964272906798476E-20,1.190263536162683E-20
623,1.2432424608877861E-20,1.1370668212855035E-20
624,1.1900612911351501E-20,1.0838737129189082E-20
625,1.1368838255180772E-20,1.030684254427679E-20
626,1.0837101084285225E-20,9.7749848946848243E-21
627,1.0305401845574801E-20,9.2431646199299522E-21
628,9.7737409889815039E-21,8.9780444486910422E-21
629,9.2421189674916696E-21,8.4462773919586089E-21
630,8.9771084042441185E-21,8.1811770178577185E-21
631,8.4455417705785742E-21,7.6494642617339729E-21
632,8.1805520140251326E-21,7.1177907112508739E-21
633,7.6490418820715581E-21,6.8527269534918168E-21
634,7.3840735816765441E-21,6.5876680759067377E-21
635,6.8526210741419383E-21,6.3226141739236095E-21
636,6.5876748822358127E-21,6.0575653428145032E-21
637,6.0562811308541412E-21,5.5259980754888317E-21
638,5.79135770276724E-21,5.2609714340316997E-21
639,5.5264398254160067E-21,4.9959502008355454E-21
640,5.2615275960271943E-21,4.7309344708152302E-21
641,4.9966211116912759E-21,4.4659243387529384E-21
642,4.7317204693672063E-21,4.2009198993025965E-21
643,4.4668257658865976E-21,4.2023734816971511E-21
644,4.2019370979582129E-21,3.9373686301380696E-21
645,3.9370545621724905E-21,3.672369700620589E-21
646,3.6721782550055297E-21,3.4073767871012361E-21
647,3.6736380741452336E-21,3.1423899834287922E-21
648,3.4087619039083695E-21,2.8774093833481683E-21
649,3.143892195011796E-21,2.8788268921183665E-21
650,2.8790290432814849E-21,2.613846628210547E-21
651,2.6141725444495581E-21,2.6152527728265737E-21
652,2.6156023607576526E-21,2.3502730541339425E-21
653,2.3507466198618888E-21,2.3516679861585468E-21
654,2.3521650314084909E-21,2.0866890194409129E-21
655,2.3535780651363927E-21,2.0880728879939182E-21
656,2.0887174175389415E-21,1.823094877777245E-21
657,1.8238638230336338E-21,1.8244678295825283E-21
658,1.8252598767637696E-21,1.8258356331474042E-21
659,1.5604076662387906E-21,1.8271983228740571E-21
660,1.5617927621026505E-21,1.5622102593196311E-21
661,1.5631726982766664E-21,1.5635623170991938E-21
662,1.5645475090907609E-21,1.2985757551744953E-21
663,1.2996856150163881E-21,1.2999173208419822E-21
664,1.3010497524546996E-21,1.3012539444741313E-21
665,1.3024088679016306E-21,1.3025856588536808E-21
666,1.0375433950946039E-21,1.0375900039003058E-21
667,1.0388920450969122E-21,1.0389114976724207E-21
668,1.0402357740429396E-21,1.0402281808818681E-21
669,7.7536709335159424E-22,1.0415400852867733E-21
670,7.7670055990881546E-22,1.0428472423982485E-21
671,7.7802920398002312E-22,7.7783788437464406E-22
672,7.7935305726813098E-22,7.7913514807327313E-22
673,7.806721512307082E-22,7.8042775937073571E-22
674,7.819865170822479E-22,7.8171574880102531E-22
675,5.1709927144658567E-22,7.8299914666249528E-22
676,5.1840376544796565E-22,7.8427798302018836E-22
677,5.1970362540513996E-22,7.8555228770800343E-22
678,5.2099888157046448E-22,7.8682209033066999E-22
